,0,1
0,isi,7171
1,u,3677
2,james,3147
3,michael,2969
4,report,2919
5,claim,2907
6,islamic,2561
7,man,2522
8,say,2493
9,american,2481
10,apple,2460
11,boko,2434
12,brown,2413
13,journalist,2364
14,state,2359
15,video,2357
16,audio,2206
17,haram,2199
18,foley,2178
19,kim,2176
20,watch,1975
21,leader,1963
22,new,1865
23,reportedly,1811
24,steve,1772
25,missing,1716
26,militant,1679
27,killed,1679
28,fighter,1654
29,kidnapped,1620
30,wright,1447
31,ebola,1383
32,job,1323
33,ceasefire,1305
34,alleged,1228
35,dead,1220
36,play,1216
37,woman,1198
38,shot,1194
39,girl,1188
40,meteorite,1144
41,christian,1136
42,bale,1136
43,beheads,1123
44,shooting,1101
45,show,1094
46,north,1080
47,caught,1078
48,may,1070
49,nigeria,1058
50,rumor,1046
51,beheading,1020
52,death,1010
53,jihadi,989
54,release,989
55,official,970
56,captured,970
57,spider,968
58,beheaded,959
59,john,891
60,student,880
61,jongun,879
62,batmobile,873
63,photojournalist,867
64,recording,867
65,denies,856
66,stolen,848
67,attack,840
68,iraqi,817
69,medium,811
70,nicaragua,805
71,hoax,791
72,weapon,782
73,soldier,773
74,god,770
75,rat,761
76,contracted,753
77,hostage,751
78,rapper,739
79,could,709
80,found,691
81,identified,688
82,school,680
83,homeless,678
84,mass,676
85,get,645
86,penis,644
87,made,643
88,ottawa,640
89,news,637
90,breaking,635
91,cnn,635
92,war,613
93,allegedly,607
94,truce,599
95,vogue,590
96,isil,580
97,mohammed,579
98,korea,565
99,banksy,563
100,world,563
101,case,561
102,open,559
103,least,557
104,wife,555
105,priest,554
106,fear,544
107,jong,542
108,million,535
109,office,519
110,star,518
111,big,515
112,6,514
113,dog,509
114,canadian,505
115,baby,505
116,100,500
117,skin,493
118,pumpkin,492
119,spice,492
120,sister,488
121,terrorist,487
122,mexico,485
123,british,485
124,burrowed,484
125,border,482
126,texas,480
127,launch,479
128,deal,476
129,first,476
130,lebanon,474
131,strike,472
132,seth,466
133,rogen,466
134,near,465
135,schoolgirl,465
136,reveals,459
137,confirms,456
138,nigerian,456
139,message,454
140,named,454
141,wood,453
142,go,451
143,said,449
144,air,444
145,abu,442
146,bakr,442
147,terror,442
148,abdel,441
149,korean,438
150,mexican,436
151,take,433
152,boy,431
153,gold,430
154,macaulay,429
155,culkin,429
156,parent,428
157,iraq,427
158,internet,427
159,obama,426
160,suspected,421
161,behead,421
162,crater,417
163,cut,416
164,gill,415
165,talk,414
166,castro,409
167,give,408
168,girlfriend,400
169,rescue,398
170,un,397
171,iphone,397
172,service,395
173,syria,395
174,capital,393
175,rosenberg,392
176,government,391
177,tiger,391
178,former,388
179,11,387
180,son,387
181,restaurant,387
182,moment,385
183,arrested,384
184,ankle,384
185,fired,383
186,set,382
187,condom,381
188,mob,381
189,drone,381
190,v,379
191,capture,378
192,stomach,377
193,trying,376
194,fidel,376
195,security,375
196,despite,375
197,anna,375
198,died,373
199,minute,372
200,batman,372
201,white,372
202,macbook,371
203,dy,369
204,viral,368
205,make,365
206,kill,364
207,albaghdadi,363
208,health,362
209,find,361
210,jonguns,361
211,see,360
212,saudi,360
213,expert,358
214,time,357
215,pregnant,356
216,suspect,355
217,got,354
218,catholic,353
219,bank,352
220,hank,352
221,sugarhill,352
222,gang,352
223,canadianisraeli,351
224,small,350
225,leaf,348
226,gunman,347
227,house,344
228,parliament,341
229,day,338
230,group,337
231,chop,337
232,10,335
233,abducted,335
234,work,334
235,nun,334
236,doubt,332
237,emwazi,327
238,city,325
239,jihadist,325
240,tropical,324
241,killer,321
242,london,319
243,want,318
244,hospital,318
245,one,318
246,shock,317
247,chief,316
248,fall,315
249,david,315
250,marijuana,313
251,birth,313
252,airdrop,312
253,end,311
254,airport,311
255,live,311
256,nasa,310
257,coming,309
258,marine,306
259,fake,305
260,48,305
261,detained,303
262,bary,303
263,head,302
264,west,300
265,seven,297
266,superman,296
267,another,294
268,body,293
269,hairgate,293
270,spends,292
271,arrest,291
272,among,291
273,grave,291
274,comcast,290
275,hit,288
276,congressman,287
277,72,286
278,taliban,285
279,pentagon,285
280,steel,285
281,app,284
282,female,282
283,post,281
284,truck,281
285,customer,280
286,worker,279
287,burrow,279
288,plumber,279
289,nicaraguan,278
290,bergdahl,276
291,libyan,276
292,story,274
293,brian,272
294,williams,272
295,isnt,272
296,failed,272
297,update,271
298,nyc,270
299,people,270
300,12inch,269
301,year,268
302,uk,268
303,back,267
304,life,265
305,islamist,264
306,married,264
307,executed,264
308,teen,263
309,wozniak,263
310,edition,262
311,violence,261
312,haines,261
313,amazon,260
314,gunfire,260
315,phelps,258
316,two,257
317,scar,256
318,500,256
319,apparently,254
320,executioner,253
321,rose,253
322,police,251
323,rapist,250
324,angry,250
325,trip,250
326,actor,249
327,upcoming,249
328,return,248
329,high,247
330,released,247
331,tv,245
332,never,242
333,luke,242
334,somers,242
335,airstrike,242
336,abandoned,241
337,sergeantatarms,241
338,getting,240
339,across,240
340,detroit,238
341,fire,238
342,airdropped,238
343,surgery,237
344,pope,234
345,showing,234
346,photo,234
347,around,234
348,dumped,233
349,albaghdadis,232
350,bali,231
351,tell,231
352,believed,230
353,secret,230
354,raise,230
355,teletubbies,229
356,google,229
357,going,228
358,didnt,227
359,duncan,227
360,keep,226
361,everyone,226
362,drug,226
363,week,226
364,memorial,225
365,vice,225
366,abdelmajed,225
367,gop,224
368,kfc,224
369,wintour,222
370,store,220
371,daughter,220
372,appendix,219
373,attempt,218
374,trade,217
375,stock,216
376,kurdish,216
377,twitter,216
378,appears,214
379,yemen,213
380,durex,212
381,dictator,212
382,five,212
383,training,212
384,complaining,212
385,confirmed,211
386,io,211
387,fence,211
388,infestation,210
389,chinese,210
390,victim,209
391,tourist,208
392,pause,208
393,wake,208
394,entire,208
395,use,208
396,test,207
397,nbc,206
398,stainless,206
399,zehafbibeau,205
400,8,204
401,icloud,204
402,station,204
403,graf,202
404,sniper,202
405,free,202
406,rape,201
407,pay,201
408,hunt,199
409,pilot,199
410,impact,198
411,pga,197
412,still,197
413,thomas,197
414,jetliner,197
415,foleys,197
416,cofounder,196
417,center,195
418,member,195
419,child,195
420,plan,194
421,arent,194
422,sex,193
423,murder,193
424,predator,192
425,look,192
426,suitcase,192
427,yojong,191
428,used,191
429,making,190
430,holding,190
431,mother,190
432,nelson,190
433,like,190
434,sell,189
435,plane,189
436,slap,189
437,smith,189
438,letter,188
439,food,188
440,zack,187
441,probably,187
442,really,187
443,hasnt,185
444,tape,185
445,rep,185
446,chlorine,184
447,300000,184
448,24,184
449,bird,184
450,problem,183
451,mcdonalds,183
452,christmas,183
453,hunter,182
454,force,181
455,dhs,180
456,mosul,180
457,america,179
458,young,179
459,user,179
460,electric,179
461,meat,179
462,stop,179
463,robert,178
464,plant,178
465,cast,178
466,300,178
467,fractured,178
468,went,177
469,patient,176
470,evil,176
471,turn,175
472,911,175
473,contract,175
474,purport,175
475,hundred,174
476,jumper,173
477,reported,172
478,testicle,172
479,family,171
480,unconfirmed,171
481,claiming,170
482,meant,170
483,2015,170
484,axl,170
485,role,169
486,ticket,169
487,three,169
488,identify,169
489,york,169
490,cleaver,169
491,5,168
492,shes,168
493,massacre,168
494,aid,167
495,right,166
496,hand,166
497,charlie,165
498,weatherman,165
499,born,164
500,syrian,164
501,name,164
502,dawn,164
503,justice,164
504,real,163
505,bug,163
506,lego,163
507,youtube,163
508,libya,163
509,gunshot,162
510,flying,162
511,britishborn,162
512,cross,161
513,usmexico,161
514,managua,161
515,fencejumper,161
516,meet,160
517,detainee,160
518,site,159
519,seized,159
520,purported,158
521,cost,158
522,jet,158
523,spotted,158
524,feature,158
525,rare,157
526,probing,157
527,source,157
528,43,156
529,domestic,156
530,indian,156
531,scorpion,156
532,bomb,156
533,southern,156
534,behind,155
535,michelle,155
536,swapped,155
537,tried,154
538,warning,154
539,spark,154
540,company,153
541,murdered,152
542,tour,152
543,hope,152
544,aged,152
545,400,152
546,mike,152
547,seidel,152
548,judd,152
549,horrific,151
550,paradise,151
551,thought,151
552,burger,150
553,burrowing,150
554,discovered,150
555,king,150
556,jordan,150
557,graphic,150
558,n,149
559,throw,149
560,ripped,149
561,execution,148
562,good,148
563,streaming,147
564,darkness,147
565,paul,147
566,issue,147
567,led,147
568,running,147
569,put,147
570,drop,147
571,month,146
572,holiday,145
573,face,145
574,held,145
575,confusion,145
576,putin,145
577,blast,145
578,six,145
579,know,144
580,artist,144
581,vladimir,144
582,shooter,143
583,heaven,143
584,including,143
585,snyder,143
586,bowe,143
587,kansa,143
588,gun,143
589,symptom,143
590,awakens,142
591,25,142
592,caused,141
593,possible,141
594,dont,141
595,russian,141
596,skipped,141
597,spending,141
598,whether,140
599,possession,140
600,crossing,140
601,social,139
602,ferguson,139
603,broken,138
604,dinner,138
605,canseco,138
606,ten,138
607,employee,138
608,accidentally,137
609,4,137
610,try,137
611,fighting,137
612,sweep,137
613,hebdo,136
614,met,136
615,wont,136
616,agreed,136
617,battery,136
618,serving,134
619,survives,133
620,guy,133
621,youngest,133
622,cleric,132
623,offer,132
624,shoot,132
625,kevin,132
626,vickers,132
627,stay,132
628,building,132
629,hbo,131
630,break,131
631,red,131
632,facebook,131
633,help,131
634,vow,131
635,200,130
636,killing,130
637,power,130
638,urinating,130
639,investigates,129
640,sonys,129
641,male,129
642,step,129
643,identity,128
644,island,128
645,hero,128
646,mysterious,128
647,lynch,128
648,yo,128
649,read,128
650,opening,127
651,pet,126
652,ill,126
653,chemical,126
654,canada,126
655,priced,126
656,denounces,126
657,lead,125
658,using,125
659,planning,125
660,delivery,125
661,rumour,125
662,naked,125
663,platinum,125
664,kid,124
665,francis,124
666,mushroom,124
667,buckingham,124
668,actually,124
669,key,124
670,snow,123
671,sun,123
672,capsule,123
673,hill,123
674,zeppelin,122
675,likely,122
676,commercial,122
677,fly,122
678,walk,121
679,catfish,121
680,outraged,121
681,obamas,121
682,remembered,121
683,brave,121
684,tireless,121
685,messaging,121
686,jose,121
687,biopic,121
688,rumored,121
689,19,120
690,come,120
691,meteorologist,120
692,might,120
693,israeli,120
694,selling,119
695,next,119
696,save,119
697,cause,119
698,latest,118
699,eating,118
700,doesnt,118
701,schoolboy,118
702,thanks,117
703,posted,117
704,fatwa,117
705,magic,117
706,dna,117
707,bunbury,116
708,part,116
709,robot,115
710,mystery,115
711,mum,115
712,rise,115
713,100000,115
714,taking,115
715,us,115
716,20,114
717,seinfeld,114
718,somali,114
719,twin,114
720,5000,114
721,last,113
722,crawled,113
723,vega,113
724,nightly,113
725,airstrikes,113
726,even,112
727,sorry,112
728,virus,112
729,surprise,112
730,wasnt,111
731,western,111
732,heard,111
733,peeing,111
734,deadly,111
735,israelicanadian,111
736,soon,110
737,far,110
738,feed,110
739,dylan,110
740,entering,110
741,investigating,110
742,question,109
743,late,109
744,al,109
745,injured,108
746,net,108
747,secretly,108
748,majed,108
749,living,108
750,much,108
751,threatens,108
752,appear,108
753,extra,107
754,powerful,107
755,bin,107
756,threat,107
757,scottish,107
758,catch,107
759,fiveday,106
760,headshot,106
761,phone,106
762,boyfriend,106
763,bad,106
764,thing,106
765,retina,106
766,7,106
767,told,106
768,outbreak,106
769,boston,105
770,espn,105
771,ceo,105
772,apps,105
773,cheese,105
774,colorado,105
775,buy,105
776,abducting,105
777,baghdadi,105
778,hold,105
779,infected,104
780,gas,104
781,suspended,104
782,shocking,104
783,strange,104
784,local,104
785,street,104
786,december,103
787,known,103
788,guard,103
789,castrate,103
790,delete,103
791,president,103
792,2014,103
793,owner,102
794,almost,102
795,fbi,102
796,home,102
797,california,102
798,cub,102
799,homeland,102
800,idea,102
801,bugatti,101
802,discovers,101
803,jeh,101
804,johnson,101
805,ban,101
806,idf,101
807,start,101
808,15,100
809,800,100
810,movie,100
811,crisis,100
812,meteor,100
813,spend,100
814,26,100
815,web,100
816,2000,100
817,mortgage,100
818,tribute,99
819,sacked,99
820,jj,99
821,abrams,99
822,jess,99
823,railway,99
824,drive,99
825,ripping,99
