,0,1
0,isis,7171
1,us,3677
2,james,3147
3,michael,2969
4,islamic,2561
5,boko,2434
6,american,2369
7,brown,2364
8,journalist,2364
9,video,2357
10,apple,2334
11,state,2301
12,audio,2206
13,haram,2199
14,foley,2178
15,kim,2176
16,says,2115
17,claims,2023
18,man,1971
19,watch,1882
20,new,1865
21,reportedly,1811
22,steve,1772
23,missing,1716
24,killed,1679
25,kidnapped,1620
26,leader,1540
27,report,1536
28,wright,1447
29,fighters,1394
30,ebola,1383
31,reports,1383
32,militants,1360
33,ceasefire,1305
34,jobs,1249
35,alleged,1229
36,dead,1220
37,woman,1153
38,meteorite,1144
39,christian,1136
40,girls,1129
41,beheads,1123
42,shooting,1102
43,bale,1087
44,north,1080
45,caught,1078
46,may,1070
47,beheading,1020
48,death,1010
49,play,992
50,jihadi,989
51,captured,970
52,spider,968
53,beheaded,959
54,nigeria,941
55,shot,934
56,john,891
57,claim,884
58,jongun,879
59,batmobile,873
60,recording,868
61,photojournalist,867
62,release,858
63,denies,856
64,stolen,848
65,iraqi,817
66,media,811
67,hoax,791
68,contracted,753
69,hostage,751
70,rapper,739
71,could,709
72,found,691
73,god,689
74,identified,688
75,weapons,682
76,school,680
77,homeless,678
78,mass,676
79,penis,644
80,made,643
81,soldier,643
82,ottawa,640
83,news,637
84,breaking,635
85,cnn,635
86,rumors,618
87,allegedly,607
88,nicaragua,601
89,truce,599
90,shows,593
91,officials,591
92,isil,580
93,mohammed,579
94,banksy,563
95,least,557
96,priest,554
97,attack,552
98,mans,551
99,jong,542
100,wife,540
101,million,535
102,korea,534
103,big,515
104,6,514
105,canadian,505
106,baby,505
107,show,501
108,100,500
109,star,495
110,skin,493
111,open,492
112,pumpkin,492
113,spice,492
114,sister,488
115,mexico,485
116,british,485
117,burrowed,484
118,border,482
119,texas,480
120,deal,476
121,first,476
122,lebanon,474
123,seth,466
124,rogen,466
125,near,465
126,schoolgirls,465
127,reveals,459
128,students,457
129,confirms,456
130,world,456
131,message,454
132,named,454
133,woods,453
134,said,449
135,abu,442
136,bakr,442
137,terror,442
138,abdel,441
139,korean,438
140,launch,438
141,rat,437
142,mexican,436
143,boy,431
144,gold,430
145,macaulay,429
146,culkin,429
147,rumor,428
148,parents,428
149,iraq,427
150,internet,427
151,obama,426
152,student,423
153,leaders,423
154,get,422
155,suspected,421
156,behead,421
157,crater,417
158,gill,415
159,girlfriend,400
160,war,399
161,rescue,398
162,iphone,397
163,service,395
164,syria,395
165,nigerian,393
166,capital,393
167,rosenberg,392
168,government,391
169,former,388
170,11,387
171,air,386
172,fears,386
173,arrested,384
174,fired,383
175,mob,381
176,official,379
177,say,378
178,stomach,377
179,trying,376
180,tiger,376
181,fidel,376
182,security,375
183,despite,375
184,anna,375
185,died,373
186,dog,373
187,minutes,372
188,batman,372
189,white,372
190,macbook,371
191,dies,369
192,viral,368
193,restaurant,364
194,albaghdadi,363
195,moment,363
196,health,362
197,jonguns,361
198,set,360
199,son,358
200,talks,357
201,pregnant,356
202,suspect,355
203,got,354
204,catholic,353
205,bank,352
206,hank,352
207,sugarhill,352
208,canadianisraeli,351
209,small,350
210,leaves,348
211,gunman,347
212,saudi,345
213,house,344
214,castro,337
215,10,335
216,abducted,335
217,work,334
218,nun,334
219,emwazi,327
220,parliament,325
221,city,325
222,tropical,324
223,rats,324
224,gives,322
225,cases,321
226,killer,321
227,cut,320
228,militant,319
229,hospital,318
230,one,318
231,london,317
232,time,315
233,david,315
234,marijuana,313
235,see,313
236,terrorists,313
237,birth,313
238,airdrop,312
239,airport,311
240,live,311
241,coming,309
242,fake,305
243,48,305
244,office,305
245,gang,305
246,detained,303
247,condoms,303
248,bary,303
249,head,302
250,nasa,301
251,west,300
252,seven,297
253,superman,296
254,vogue,295
255,vogues,295
256,another,294
257,hairgate,293
258,spends,292
259,among,291
260,grave,291
261,comcast,290
262,attacks,288
263,group,287
264,72,286
265,taliban,285
266,pentagon,285
267,steel,285
268,app,284
269,female,282
270,truck,281
271,marine,279
272,nicaraguan,278
273,bergdahl,276
274,libyan,276
275,story,274
276,brian,272
277,williams,272
278,isnt,272
279,failed,272
280,chops,272
281,update,271
282,nyc,270
283,chief,270
284,people,270
285,12inch,269
286,uk,268
287,back,267
288,married,264
289,executed,264
290,wozniak,263
291,edition,262
292,violence,261
293,shots,261
294,fall,261
295,haines,261
296,wants,260
297,gunfire,260
298,fighter,260
299,phelps,258
300,two,257
301,scar,256
302,500,256
303,strikes,256
304,v,256
305,apparently,254
306,experts,253
307,executioner,253
308,police,251
309,angry,250
310,trip,250
311,actor,249
312,upcoming,249
313,return,248
314,worker,247
315,high,247
316,take,247
317,released,247
318,arrest,246
319,tv,245
320,kills,244
321,never,242
322,luke,242
323,somers,242
324,airstrike,242
325,burrows,241
326,abandoned,241
327,sergeantatarms,241
328,case,240
329,getting,240
330,across,240
331,detroit,238
332,airdropped,238
333,surgery,237
334,showing,234
335,around,234
336,dumped,233
337,albaghdadis,232
338,bali,231
339,go,231
340,believed,230
341,captures,230
342,secret,230
343,teletubbies,229
344,google,229
345,going,228
346,didnt,227
347,islamist,227
348,duncan,227
349,everyone,226
350,drug,226
351,end,226
352,memorial,225
353,abdelmajed,225
354,gop,224
355,kfc,224
356,plays,224
357,makes,223
358,gets,223
359,wintour,222
360,ankle,221
361,goes,220
362,store,220
363,appendix,219
364,pope,218
365,jihadists,218
366,trade,217
367,week,217
368,strike,216
369,kurdish,216
370,twitter,216
371,drones,215
372,plumbers,214
373,wars,214
374,appears,214
375,offices,214
376,yemen,213
377,durex,212
378,dictator,212
379,five,212
380,amazon,212
381,training,212
382,complaining,212
383,confirmed,211
384,ios,211
385,fence,211
386,infestation,210
387,chinese,210
388,pause,208
389,wakes,208
390,entire,208
391,use,208
392,nbc,206
393,stainless,206
394,find,205
395,zehafbibeau,205
396,icloud,204
397,nicaraguas,204
398,station,204
399,graves,202
400,sniper,202
401,free,202
402,rape,201
403,uns,199
404,hunt,199
405,un,198
406,impact,198
407,attempt,197
408,pga,197
409,still,197
410,jetliners,197
411,foleys,197
412,hit,197
413,cofounder,196
414,center,195
415,child,195
416,keep,194
417,vice,194
418,arent,194
419,sex,193
420,8,193
421,predator,192
422,suitcase,192
423,yojong,191
424,used,191
425,making,190
426,holding,190
427,mother,190
428,shock,190
429,like,190
430,sell,189
431,planes,189
432,slaps,189
433,letter,188
434,food,188
435,zack,187
436,probably,187
437,really,187
438,victim,186
439,takes,186
440,hasnt,185
441,tape,185
442,chlorine,184
443,300000,184
444,pilots,184
445,24,184
446,teen,184
447,mcdonalds,183
448,christmas,183
449,nelson,182
450,days,180
451,dhs,180
452,mosul,180
453,bodies,179
454,young,179
455,users,179
456,electric,179
457,meat,179
458,stop,179
459,robert,178
460,plant,178
461,300,178
462,fractured,178
463,went,177
464,patient,176
465,evil,176
466,911,175
467,contract,175
468,purports,175
469,terrorist,174
470,doubts,174
471,jumper,173
472,raise,173
473,reported,172
474,testicles,172
475,family,171
476,murder,171
477,unconfirmed,171
478,claiming,170
479,meant,170
480,2015,170
